,startstationname,endstationname,count,pct
0,Hamilton Park,Grove St PATH,7842,0.026589540498019856
1,Morris Canal,Exchange Place,5525,0.01873338577551131
2,Grove St PATH,Hamilton Park,5331,0.018075598112081592
3,Exchange Place,Morris Canal,4172,0.014145825421797863
4,Brunswick St,Grove St PATH,3857,0.0130777681332393
5,Jersey & 6th St,Grove St PATH,3403,0.011538409374491401
6,Van Vorst Park,Grove St PATH,3321,0.011260375413660283
7,McGinley Square,Sip Ave,3209,0.010880621711061684
8,Dixon Mills,Grove St PATH,3081,0.010446617479520425
9,Brunswick & 6th,Grove St PATH,2885,0.009782048499972875
10,Monmouth and 6th,Grove St PATH,2860,0.009697282048499973
11,Sip Ave,McGinley Square,2797,0.00948367059078826
12,Grove St PATH,Dixon Mills,2792,0.00946671730049368
13,Grove St PATH,Brunswick St,2662,0.00902593175283459
14,Grove St PATH,Van Vorst Park,2530,0.008578364889057668
15,Grove St PATH,Brunswick & 6th,2414,0.008185048554223404
16,Newport PATH,Hamilton Park,2413,0.008181657896164488
17,Marin Light Rail,Grove St PATH,2412,0.008178267238105571
18,Hamilton Park,Newport PATH,2387,0.00809350078663267
19,Grove St PATH,Marin Light Rail,2354,0.007981609070688438
20,Grove St PATH,Monmouth and 6th,2328,0.00789345196115662
21,Oakland Ave,Sip Ave,2255,0.007645933922855748
22,Essex Light Rail,Exchange Place,2137,0.007245836271903651
23,Exchange Place,Essex Light Rail,2097,0.007110209949547008
24,Grove St PATH,Jersey & 6th St,1969,0.0066762057180057505
